,path,height,width,aspect_ratio,r,g,b,h,s,v,error
15528,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f25b7e01-c833-49e2-b29b-9f79be652bf3.png,2278,2053,1.1095957135898684,125.56391019886955,100.4818014024317,54.99592707218328,32.440636136243796,147.2672805423614,125.98707944475781,
15529,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f261d9bf-e3c3-46bb-97d6-2fd24fdcbe47.png,2990,2383,1.2547209399916073,169.60091787283673,131.9880216191333,80.62535504416034,23.824477731759384,138.29073341407994,169.60128516231893,
15530,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f2664296-c88b-4fc1-80c4-d6068d4e1fe7.png,2990,1484,2.0148247978436657,148.39754550207792,122.33737999080493,70.90928319014866,30.517834380549722,151.8970692965771,148.4651858395911,
15531,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f26f1258-67df-4446-9091-a2d38cb00c5a.png,1988,2990,0.6648829431438127,107.10057973257607,77.08377556307747,52.138136174908986,20.277716634253682,143.82245042159312,107.113948406156,
15532,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f271cd13-069a-4d74-9773-d7d440d20565.png,3328,3824,0.8702928870292888,92.24281415641596,67.47432956014141,45.43878482245233,35.3458184769271,127.20844391821895,92.76893736044617,
15533,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f27264f5-6f4f-419c-8799-8c6b507c2879.png,2000,2629,0.7607455306200076,164.07004583491823,122.74256162038797,69.1464418029669,24.589205020920502,159.53156865728414,164.09950589577787,
15534,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f2757581-af4e-4cbf-9657-442b1a266f87.png,5392,3696,1.4588744588744589,130.81883785261473,107.95661511924031,81.502510684018,19.15698968208473,81.5164241938514,131.32557919099324,
15535,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f2767fa5-2b43-44b7-91b0-a279222cc257.png,5376,3424,1.5700934579439252,132.36664972784894,112.98663305631467,78.91898757805546,27.910331777004757,104.95755212679406,132.64169853424357,
15536,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f27af535-69ff-467f-9b2e-ec00ff71688b.png,1314,2082,0.6311239193083573,127.01473271660986,108.5278808574474,77.52523733911164,31.687394818528606,96.7426637979814,127.27379312714476,
15537,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f27bbcb9-9552-4a98-bddd-093669cfc395.png,1709,2990,0.571571906354515,172.8927564281954,139.01460103994003,96.40390887510739,27.268671072484644,127.4223522527794,173.01601554626205,
15538,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f27c1984-1c67-47bd-aaf2-548aefac75c6.png,3000,4800,0.625,212.94138527777778,197.55946430555557,172.28894868055556,13.855367569444445,62.529451180555554,212.96241534722222,
15539,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f283017f-d190-4069-bc52-2e9991c0cb50.png,1146,2190,0.5232876712328767,162.76735438730705,144.57675376732251,135.94728298548853,15.454867436467522,41.883338911600404,162.78593280578866,
15540,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f28374f0-3bb1-4bfa-9c4f-ff29c200254b.png,1993,2990,0.6665551839464883,182.64383972666874,154.35829097493402,91.95948696692605,29.22986120317432,129.82787398033585,182.8671838055267,
15541,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f28baccc-6d15-4084-ad7a-cc8df5b50fba.png,1840,2480,0.7419354838709677,147.2739117286115,118.67332902349229,68.21650727559607,28.473312368513323,149.57472475455822,147.65697931276299,
