,Species,count,normalized_cumsum
264,Serjania acutidentata,5,0.07487775061124695
265,Pentadiplandra brazzeana,5,0.0750687652811736
266,Acer henryi,5,0.07525977995110024
267,Trochodendron aralioides,5,0.0754507946210269
268,Triumfetta procumbens,5,0.07564180929095354
269,Serjania reticulata,5,0.0758328239608802
270,Polyalthia cerasoides,5,0.07602383863080685
271,Cephalanthus occidentalis,5,0.07621485330073349
272,Apollonias canariensis,5,0.07640586797066015
273,Gymnacranthera farquhariana,5,0.0765968826405868
274,Rhododendron lapponicum,5,0.07678789731051344
275,Michelia yunnanensis,5,0.0769789119804401
276,Polyalthia korinti,5,0.07716992665036675
277,Clematis hirsutissima,5,0.0773609413202934
278,Betula lenta,5,0.07755195599022005
279,Kadsura coccinea,5,0.0777429706601467
280,Populus brandegeei,5,0.07793398533007335
281,Rhodoleia forrestii,5,0.078125
282,Condalia obtusifolia,5,0.07831601466992665
283,Populus hastata,5,0.0785070293398533
284,Mimusops elengi,5,0.07869804400977995
285,Prunus dielsiana,5,0.0788890586797066
286,Ochthocosmus glaber,5,0.07908007334963325
287,Diospyros texana,5,0.0792710880195599
288,Corchorus capsularis,5,0.07946210268948656
289,Broussonetia kazinoki,5,0.0796531173594132
290,Broussonetia papyrifera,5,0.07984413202933985
291,Magonia pubescens,5,0.08003514669926651
292,Salix laevigata,5,0.08022616136919315
293,Ocotea cernua,5,0.0804171760391198
294,Diphysa floribunda,5,0.08060819070904646
295,Fraxinus longicuspis,5,0.0807992053789731
296,Castanea pumila,5,0.08099022004889976
297,Salix lasiandra,5,0.0811812347188264
298,Urvillea ulmacea,5,0.08137224938875305
299,Coriaria japonica,5,0.08156326405867971
300,Diplokeleba floribunda,5,0.08175427872860636
301,Talauma mexicana,5,0.081945293398533
302,Prunus subcordata,5,0.08213630806845966
303,Lamanonia speciosa,5,0.0823273227383863
304,Voacanga globosa,5,0.08251833740831296
305,Garrya elliptica,5,0.08270935207823961
306,Psammisia falcata,5,0.08290036674816625
307,Pseudoxandra polyphleba,5,0.08309138141809291
308,Pseudoxandra coriacea,5,0.08328239608801956
309,Byrsonima crassifolia,5,0.0834734107579462
310,Uvaria microcarpa,5,0.08366442542787286
311,Symphoricarpos albus,5,0.08385544009779951
312,Populus trichocarpa,5,0.08404645476772617
313,Melodorum siamense,5,0.08423746943765281
314,Blomia cupanioides,5,0.08442848410757946
315,Tristira triptera,5,0.08461949877750612
316,Bocageopsis multiflora,5,0.08481051344743276
317,Grewia eriocarpa,5,0.0850015281173594
318,Condalia parryi,5,0.08519254278728607
319,Grewia acuminata,5,0.08538355745721271
320,Ficalhoa laurifolia,5,0.08557457212713937
321,Nyssa aquatica,5,0.08576558679706602
322,Cissampelos pareira,5,0.08595660146699266
323,Sinoradlkofera minor,5,0.08614761613691932
324,Bombax lukayense,5,0.08633863080684596
325,Ptelea trifoliata,5,0.08652964547677261
326,Sinowilsonia henryi,5,0.08672066014669927
327,Pterygota bequaertii,5,0.08691167481662591
328,Ulmus alata,5,0.08710268948655257
329,Akania hillii,5,0.08729370415647922
330,Ulmus crassifolia,5,0.08748471882640586
331,Maclura pomifera,5,0.08767573349633252
332,Annona liebmanniana,5,0.08786674816625917
333,Annona globiflora,5,0.08805776283618581
334,Annona diversifolia,5,0.08824877750611247
335,Glossocalyx longicuspis,5,0.08843979217603912
336,Ceanothus cordulatus,5,0.08863080684596578
337,Xylopia vielana,5,0.08882182151589242
338,Cercis occidentalis,5,0.08901283618581907
339,Alnus maritima,5,0.08920385085574573
340,Dalbergia brownei,5,0.08939486552567237
341,Hexalobus crispiflorus,5,0.08958588019559902
342,Myrtus communis,5,0.08977689486552567
343,Meliosma buchananifolia,5,0.08996790953545232
344,Ilex dipyrena,5,0.09015892420537898
345,Meiogyne lucida,5,0.09034993887530562
346,Heteropetalum brasiliense,5,0.09054095354523227
347,Menziesia ferruginea,5,0.09073196821515893
348,Coursetia caribaea,5,0.09092298288508557
349,Salix cordata,5,0.09111399755501222
350,Carpotroche platyptera,5,0.09130501222493888
351,Acer rubrum,5,0.09149602689486552
352,Hydnocarpus kurzii,5,0.09168704156479218
353,Xanthoceras sorbifolia,5,0.09187805623471883
354,Xylopia acutiflora,5,0.09206907090464547
355,Hydrangea anomala,5,0.09226008557457213
356,Salix pulchra,5,0.09245110024449878
357,Cupania glabra,5,0.09264211491442542
358,Acer saccharum,5,0.09283312958435208
359,Alfaroa manningii,5,0.09302414425427873
360,Luehea divaricata,5,0.09321515892420539
361,Hibbertia baudouinii,5,0.09340617359413203
362,Hibbertia coriacea,5,0.09359718826405868
363,Alnus cremastogyne,5,0.09378820293398533
364,Cladothamnus pyroliflorus,5,0.09397921760391198
365,Canavalia hirsutissima,5,0.09417023227383862
366,Orophea cumingiana,5,0.09436124694376528
367,Saurauia selerorum,5,0.09455226161369193
368,Melia dubia,5,0.09474327628361859
369,Loropetalum chinensis,5,0.09493429095354523
370,Cuphea denticulata,5,0.09512530562347188
371,Horsfieldia irya,5,0.09531632029339854
372,Canarium pimela,5,0.09550733496332518
373,Hibiscus laevis,5,0.09569834963325183
374,Trichospermum richii,5,0.09588936430317849
375,Louteridium mexicanum,5,0.09608037897310513
376,Orophea hainanensis,5,0.09627139364303179
377,Austrobaileya scandens,5,0.09646240831295844
378,Meliosma alba,5,0.09665342298288508
379,Chamaedaphne calyculata,5,0.09684443765281174
380,Humiria balsamifera,5,0.09703545232273839
381,Carpinus pubescens,5,0.09722646699266503
382,Piper jultatum,5,0.09741748166259169
383,Illicium dunnianum,5,0.09760849633251834
384,Xylopia aromatica,5,0.097799511002445
385,Trichocladus crinitus,5,0.09799052567237164
